Ticker,Poids (%),Montant ($)
ENGI.PA,32.09,472536
JNJ,18.81,276928
GLD,10.11,148892
GLE.PA,10.03,147634
LLYVK,9.84,144875
PLTR,6.12,90088
KR,5.47,80506
GOOGL,4.82,70905
XOM,1.26,18487
MCK,1.07,15736
FDX,0.4,5897
