date_debut,date_fin,ret_port,ret_bench,sharpe,n_positions
2021-10-25,2022-01-31,-0.04665425429988096,0.011972472518762286,-1.3134790150427371,15
2022-02-01,2022-05-05,0.000141246449873636,-0.08461401302192238,-0.22083700876789233,18
2022-05-06,2022-08-18,0.018529042656507014,-0.021603239758543183,0.20470017754039355,11
2022-08-19,2022-11-17,-0.01829959378835696,-0.0566187244823892,-0.6926372650290105,9
2022-11-18,2023-02-27,-0.009401034778864337,0.05462623630222619,-0.6929089978970623,10
2023-02-28,2023-06-07,0.04851895453254596,0.05925148682169669,1.4127144604837898,9
2023-06-08,2023-09-14,0.06322648994899406,0.09050570309388117,2.0656746341650543,9
2023-09-15,2023-12-14,0.020135827388511995,0.053712836784139045,0.4323978736705615,12
2023-12-15,2024-03-26,0.1702029315883598,0.10990956189501065,7.402774560327275,13
2024-03-27,2024-07-12,0.04649079285312824,0.03859230948532303,1.1423909447906657,17
2024-07-15,2024-10-15,0.09679383450046325,0.08710031505844616,2.3646778571757294,21
2024-10-16,2025-01-30,0.056439630228095394,0.054080978206771935,1.4772183751271546,19
2025-01-31,2025-05-08,0.007612166838231663,-0.07775197927654588,-0.03868339144757151,19
2025-05-09,2025-08-21,0.05859570176566367,0.06817072484736594,2.111089137145661,11
2025-08-22,2025-11-20,0.043086353937195995,-0.004644870169699039,1.1667213110122476,11
2025-11-21,2026-03-09,0.12580518902753357,0.02482967456953557,3.2635916047675106,11
